action_type,combined_shot_type,game_id,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,game_date,matchup,opponent
Running Jump Shot,Jump Shot,20000019,5,3,0,Jan-00,47,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,20000019,5,3,0,Jan-00,11,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/1,LAL vs. UTA,UTA
Layup Shot,Layup,20000019,2,3,0,Jan-00,36,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,2,3,0,Jan-00,4,20,0,2PT Field Goal,Center(C),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,0,3,0,Jan-00,30,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,8,4,0,Jan-00,19,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,6,4,0,Jan-00,22,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/1,LAL vs. UTA,UTA
Running Jump Shot,Jump Shot,20000019,1,4,0,Jan-00,20,12,1,2PT Field Goal,Right Side(R),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000019,0,4,0,Jan-00,30,13,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/1,LAL vs. UTA,UTA
Jump Shot,Jump Shot,20000047,11,1,0,Jan-00,26,17,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,10,1,0,Jan-00,58,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/4,LAL @ VAN,VAN
Layup Shot,Layup,20000047,7,1,0,Jan-00,33,1,0,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Layup Shot,Layup,20000047,5,1,0,Jan-00,58,1,0,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Reverse Layup Shot,Layup,20000047,4,1,0,Jan-00,9,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,5,2,0,Jan-00,33,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,3,2,0,Jan-00,30,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,0,2,0,Jan-00,4,27,1,3PT Field Goal,Center(C),Above the Break 3,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,11,3,0,Jan-00,12,18,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/4,LAL @ VAN,VAN
Layup Shot,Layup,20000047,10,3,0,Jan-00,13,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,8,3,0,Jan-00,59,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,8,3,0,Jan-00,29,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/4,LAL @ VAN,VAN
Layup Shot,Layup,20000047,4,3,0,Jan-00,29,2,0,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Layup Shot,Layup,20000047,3,3,0,Jan-00,21,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Reverse Dunk Shot,Dunk,20000047,2,3,0,Jan-00,55,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Slam Dunk Shot,Dunk,20000047,2,3,0,Jan-00,38,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,4,4,0,Jan-00,55,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000047,3,4,0,Jan-00,19,17,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/4,LAL @ VAN,VAN
Layup Shot,Layup,20000047,1,4,0,Jan-00,8,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Layup Shot,Layup,20000047,1,4,0,Jan-00,6,1,0,2PT Field Goal,Center(C),Restricted Area,2000/11/4,LAL @ VAN,VAN
Jump Shot,Jump Shot,20000049,10,1,0,Jan-00,33,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000049,10,1,0,Jan-00,4,18,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000049,4,1,0,Jan-00,58,28,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000049,2,1,0,Jan-00,33,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000049,11,2,0,Jan-00,26,22,1,3PT Field Goal,Center(C),Mid-Range,2000/11/5,LAL vs. LAC,LAC
Driving Layup Shot,Layup,20000049,8,2,0,Jan-00,40,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/5,LAL vs. LAC,LAC
Slam Dunk Shot,Dunk,20000049,4,2,0,Jan-00,5,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000049,3,2,0,Jan-00,10,28,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000049,2,2,0,Jan-00,2,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/5,LAL vs. LAC,LAC
Layup Shot,Layup,20000049,0,2,0,Jan-00,47,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/5,LAL vs. LAC,LAC
Driving Layup Shot,Layup,20000049,9,3,0,Jan-00,32,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/5,LAL vs. LAC,LAC
Driving Layup Shot,Layup,20000049,0,3,0,Jan-00,37,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/5,LAL vs. LAC,LAC
Running Jump Shot,Jump Shot,20000049,0,3,0,Jan-00,1,12,1,2PT Field Goal,Right Side(R),Mid-Range,2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000049,10,4,0,Jan-00,13,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/5,LAL vs. LAC,LAC
Jump Shot,Jump Shot,20000058,9,1,0,Jan-00,6,12,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,8,1,0,Jan-00,17,23,0,3PT Field Goal,Right Side(R),Right Corner 3,2000/11/7,LAL @ HOU,HOU
Driving Layup Shot,Layup,20000058,7,1,0,Jan-00,53,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/7,LAL @ HOU,HOU
Driving Dunk Shot,Dunk,20000058,7,1,0,Jan-00,1,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,5,1,0,Jan-00,15,19,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,3,1,0,Jan-00,11,25,1,3PT Field Goal,Center(C),Above the Break 3,2000/11/7,LAL @ HOU,HOU
Driving Layup Shot,Layup,20000058,7,2,0,Jan-00,56,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,2,2,0,Jan-00,40,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,0,2,0,Jan-00,10,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,11,3,0,Jan-00,2,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,9,3,0,Jan-00,10,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,7,3,0,Jan-00,24,13,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,0,3,0,Jan-00,1,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,11,4,0,Jan-00,49,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,5,4,0,Jan-00,1,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000058,0,4,0,Jan-00,46,15,0,2PT Field Goal,Center(C),Mid-Range,2000/11/7,LAL @ HOU,HOU
Jump Shot,Jump Shot,20000068,11,1,0,Jan-00,41,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2000/11/8,LAL @ SAS,SAS
Slam Dunk Shot,Dunk,20000068,10,1,0,Jan-00,59,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,9,1,0,Jan-00,48,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/8,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,20000068,7,1,0,Jan-00,26,13,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,6,1,0,Jan-00,36,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,5,1,0,Jan-00,54,19,1,2PT Field Goal,Center(C),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,2,1,0,Jan-00,24,15,1,2PT Field Goal,Right Side(R),Mid-Range,2000/11/8,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,20000068,1,1,0,Jan-00,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,1,1,0,Jan-00,25,15,1,2PT Field Goal,Center(C),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,0,1,0,Jan-00,47,15,1,2PT Field Goal,Left Side(L),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,10,2,0,Jan-00,57,13,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,9,2,0,Jan-00,37,15,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/8,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,20000068,4,2,0,Jan-00,25,13,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,3,2,0,Jan-00,50,25,1,3PT Field Goal,Center(C),Above the Break 3,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,3,2,0,Jan-00,15,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,0,2,0,Jan-00,53,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,0,2,0,Jan-00,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,11,3,0,Jan-00,26,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,9,3,0,Jan-00,20,15,0,2PT Field Goal,Center(C),Mid-Range,2000/11/8,LAL @ SAS,SAS
Slam Dunk Shot,Dunk,20000068,7,3,0,Jan-00,53,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,6,3,0,Jan-00,40,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,4,3,0,Jan-00,16,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,3,3,0,Jan-00,0,12,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,0,3,0,Jan-00,48,19,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,0,3,0,Jan-00,21,17,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,10,4,0,Jan-00,39,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,7,4,0,Jan-00,8,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/8,LAL @ SAS,SAS
Turnaround Jump Shot,Jump Shot,20000068,6,4,0,Jan-00,25,16,1,2PT Field Goal,Left Side(L),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,5,4,0,Jan-00,14,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,3,4,0,Jan-00,38,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000068,0,4,0,Jan-00,43,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/8,LAL @ SAS,SAS
Jump Shot,Jump Shot,20000098,11,1,0,Jan-00,9,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Driving Layup Shot,Layup,20000098,10,1,0,Jan-00,17,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Reverse Layup Shot,Layup,20000098,9,1,0,Jan-00,23,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Tip Shot,Tip Shot,20000098,9,1,0,Jan-00,21,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Slam Dunk Shot,Dunk,20000098,3,1,0,Jan-00,2,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Driving Layup Shot,Layup,20000098,0,1,0,Jan-00,44,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,0,1,0,Jan-00,21,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,8,2,0,Jan-00,50,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Driving Dunk Shot,Dunk,20000098,8,2,0,Jan-00,18,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,2,2,0,Jan-00,40,16,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Running Hook Shot,Hook Shot,20000098,0,2,0,Jan-00,30,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,0,2,0,Jan-00,4,27,1,3PT Field Goal,Center(C),Above the Break 3,2000/11/12,LAL vs. HOU,HOU
Running Jump Shot,Jump Shot,20000098,9,3,0,Jan-00,59,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,8,3,0,Jan-00,38,15,1,2PT Field Goal,Right Side(R),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,5,3,0,Jan-00,18,15,1,2PT Field Goal,Left Side(L),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,4,3,0,Jan-00,34,15,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,3,3,0,Jan-00,51,17,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,3,3,0,Jan-00,40,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,3,3,0,Jan-00,33,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/12,LAL vs. HOU,HOU
Reverse Layup Shot,Layup,20000098,2,3,0,Jan-00,56,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,2,3,0,Jan-00,5,17,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,0,3,0,Jan-00,14,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,10,4,0,Jan-00,52,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,6,4,0,Jan-00,34,11,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,4,4,0,Jan-00,57,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/12,LAL vs. HOU,HOU
Driving Dunk Shot,Dunk,20000098,3,4,0,Jan-00,28,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Running Jump Shot,Jump Shot,20000098,1,4,0,Jan-00,38,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/12,LAL vs. HOU,HOU
Jump Shot,Jump Shot,20000098,1,4,0,Jan-00,5,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/12,LAL vs. HOU,HOU
Tip Shot,Tip Shot,20000098,1,4,0,Jan-00,3,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/12,LAL vs. HOU,HOU
Driving Layup Shot,Layup,20000108,7,1,0,Jan-00,43,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,4,1,0,Jan-00,52,23,0,3PT Field Goal,Right Side(R),Right Corner 3,2000/11/14,LAL vs. DEN,DEN
Alley Oop Dunk Shot,Dunk,20000108,3,1,0,Jan-00,8,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,2,1,0,Jan-00,25,12,1,2PT Field Goal,Right Side(R),Mid-Range,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,0,1,0,Jan-00,48,13,1,2PT Field Goal,Left Side(L),Mid-Range,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,11,2,0,Jan-00,16,18,0,2PT Field Goal,Right Side(R),Mid-Range,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,10,2,0,Jan-00,19,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,2000/11/14,LAL vs. DEN,DEN
Driving Layup Shot,Layup,20000108,10,2,0,Jan-00,5,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Running Jump Shot,Jump Shot,20000108,9,2,0,Jan-00,7,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,4,2,0,Jan-00,14,16,0,2PT Field Goal,Center(C),Mid-Range,2000/11/14,LAL vs. DEN,DEN
Driving Layup Shot,Layup,20000108,3,2,0,Jan-00,22,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Layup Shot,Layup,20000108,1,2,0,Jan-00,54,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Driving Layup Shot,Layup,20000108,0,2,0,Jan-00,28,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Tip Shot,Tip Shot,20000108,0,2,0,Jan-00,26,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,10,3,0,Jan-00,23,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,5,3,0,Jan-00,23,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/14,LAL vs. DEN,DEN
Reverse Dunk Shot,Dunk,20000108,3,3,0,Jan-00,53,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Driving Dunk Shot,Dunk,20000108,0,3,0,Jan-00,37,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000108,11,4,0,Jan-00,43,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,2000/11/14,LAL vs. DEN,DEN
Layup Shot,Layup,20000108,10,4,0,Jan-00,28,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Slam Dunk Shot,Dunk,20000108,10,4,0,Jan-00,11,0,1,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Layup Shot,Layup,20000108,5,4,0,Jan-00,37,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Dunk Shot,Dunk,20000108,5,4,0,Jan-00,32,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/14,LAL vs. DEN,DEN
Jump Shot,Jump Shot,20000124,11,1,0,Jan-00,42,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/16,LAL @ SAC,SAC
Jump Shot,Jump Shot,20000124,11,1,0,Jan-00,7,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,2000/11/16,LAL @ SAC,SAC
Jump Shot,Jump Shot,20000124,8,1,0,Jan-00,53,16,0,2PT Field Goal,Left Side(L),Mid-Range,2000/11/16,LAL @ SAC,SAC
Jump Shot,Jump Shot,20000124,8,1,0,Jan-00,16,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/16,LAL @ SAC,SAC
Driving Layup Shot,Layup,20000124,7,1,0,Jan-00,43,0,0,2PT Field Goal,Center(C),Restricted Area,2000/11/16,LAL @ SAC,SAC
Jump Shot,Jump Shot,20000124,2,1,0,Jan-00,47,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),2000/11/16,LAL @ SAC,SAC
Jump Shot,Jump Shot,20000124,1,1,0,Jan-00,36,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,2000/11/16,LAL @ SAC,SAC
